GO:0000015~phosphopyruvate hydratase complex	387712,2027,2026,2023,
GO:0000109~nucleotide-excision repair complex	2067,5424,1161,2072,
GO:0000110~nucleotide-excision repair factor 1 complex	2067,2072,
GO:0000111~nucleotide-excision repair factor 2 complex	7508,
GO:0000118~histone deacetylase complex	9612,51564,10284,8841,55806,6907,7764,9611,8819,9219,6886,23468,8204,3094,9759,2122,3065,9541,83933,51317,79885,90665,55869,79718,84215,116092,473,8932,10013,9734,23314,10014,10629,
GO:0000120~RNA polymerase I transcription factor complex	10849,9013,9015,
GO:0000123~histone acetyltransferase complex	284058,151050,54934,8473,8518,11143,3054,11091,2033,55250,79960,9767,1387,26610,10445,51230,84148,55140,23338,55683,51147,
GO:0000124~SAGA complex	389856,55578,56943,8464,170067,56970,100130302,9736,158880,84128,23326,
GO:0000125~PCAF complex	6871,6881,6883,6880,8850,8295,
GO:0000126~transcription factor TFIIIB complex	55814,2972,
GO:0000127~transcription factor TFIIIC complex	2975,2976,112495,9329,9328,9330,
GO:0000137~Golgi cis cisterna	2801,3996,9950,51062,63941,9528,55512,
GO:0000138~Golgi trans cisterna	9179,2683,259230,283987,9950,9528,
